epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
57,115,,,,,0.2945736348628998,1.8696420192718506
57,115,0.6694352030754089,,0.9087681770324707,,,
58,116,,0.671875,,0.8588929176330566,,
58,117,,0.7222222089767456,,0.7994440793991089,,
58,117,,,,,0.2945736348628998,1.87601900100708
58,117,0.6860465407371521,,0.8798872828483582,,,
59,118,,0.71484375,,0.8433473110198975,,
59,119,,0.6666666865348816,,0.9263448715209961,,
59,119,,,,,0.2868216931819916,1.8799868822097778
59,119,0.6960132718086243,,0.8825135827064514,,,
60,120,,0.703125,,0.867717444896698,,
60,121,,0.6777777671813965,,0.8244615793228149,,
60,121,,,,,0.3100775182247162,1.8848531246185303
60,121,0.7059800624847412,,0.832024872303009,,,
61,122,,0.6796875,,0.8514561057090759,,
61,123,,0.7333333492279053,,0.8082069158554077,,
61,123,,,,,0.3100775182247162,1.8893404006958008
61,123,0.7043189406394958,,0.8542516231536865,,,
62,124,,0.72265625,,0.8146483898162842,,
62,125,,0.7222222089767456,,0.8065647482872009,,
62,125,,,,,0.3178294599056244,1.8930914402008057
62,125,0.6943521499633789,,0.8589185476303101,,,
63,126,,0.6875,,0.8575378060340881,,
63,127,,0.7222222089767456,,0.7564185261726379,,
63,127,,,,,0.3178294599056244,1.8945187330245972
63,127,0.6893687844276428,,0.8433631658554077,,,
64,128,,0.75,,0.7737460136413574,,
64,129,,0.699999988079071,,0.8934128284454346,,
64,129,,,,,0.3333333432674408,1.8952313661575317
64,129,0.7342192530632019,,0.8222082257270813,,,
65,130,,0.7265625,,0.8138196468353271,,
65,131,,0.6555555462837219,,0.9201539158821106,,
65,131,,,,,0.341085284948349,1.8944652080535889
65,131,0.7093023061752319,,0.8186352252960205,,,
66,132,,0.7265625,,0.812367856502533,,
66,133,,0.7666666507720947,,0.7174385190010071,,
66,133,,,,,0.3488371968269348,1.8878226280212402
66,133,0.7392026782035828,,0.7785242795944214,,,
67,134,,0.75390625,,0.7897861003875732,,
67,135,,0.7444444298744202,,0.6984220743179321,,
67,135,,,,,0.3333333432674408,1.8771229982376099
67,135,0.7375415563583374,,0.7764600515365601,,,
68,136,,0.7421875,,0.7883875370025635,,
68,137,,0.7222222089767456,,0.7783492803573608,,
68,137,,,,,0.341085284948349,1.8723444938659668
68,137,0.7591361999511719,,0.7518391609191895,,,
69,138,,0.7265625,,0.7832643985748291,,
69,139,,0.7555555701255798,,0.7227107286453247,,
69,139,,,,,0.341085284948349,1.867429256439209
69,139,0.7292358875274658,,0.7562161087989807,,,
70,140,,0.75390625,,0.7510436773300171,,
70,141,,0.6888889074325562,,0.7137050628662109,,
70,141,,,,,0.341085284948349,1.866668701171875
70,141,0.7275747656822205,,0.7587828040122986,,,
71,142,,0.71484375,,0.7679641246795654,,
71,143,,0.6777777671813965,,0.8075181841850281,,
71,143,,,,,0.3333333432674408,1.8708537817001343
71,143,0.7292358875274658,,0.7438661456108093,,,
72,144,,0.75,,0.7310872077941895,,
72,145,,0.7666666507720947,,0.6882423758506775,,
72,145,,,,,0.3488371968269348,1.877372145652771
72,145,0.7524917125701904,,0.7173288464546204,,,
73,146,,0.75390625,,0.7142557501792908,,
73,147,,0.699999988079071,,0.7915347218513489,,
73,147,,,,,0.3488371968269348,1.8890210390090942
73,147,0.7425249218940735,,0.7282689213752747,,,
74,148,,0.72265625,,0.8258028626441956,,
74,149,,0.7888888716697693,,0.7128211259841919,,
74,149,,,,,0.3488371968269348,1.8985084295272827
74,149,0.7574750781059265,,0.7401158809661865,,,
75,150,,0.74609375,,0.7606671452522278,,
75,151,,0.7111111283302307,,0.7363710999488831,,
75,151,,,,,0.3488371968269348,1.9047640562057495
75,151,0.7375415563583374,,0.7512349486351013,,,
76,152,,0.76953125,,0.703101634979248,,
76,153,,0.8444444537162781,,0.636335551738739,,
76,153,,,,,0.3333333432674408,1.9131051301956177
76,153,0.7624584436416626,,0.7106411457061768,,,
77,154,,0.73046875,,0.7428701519966125,,
77,155,,0.6555555462837219,,0.8026584982872009,,
77,155,,,,,0.3333333432674408,1.9205269813537598
77,155,0.7425249218940735,,0.720615029335022,,,
78,156,,0.69140625,,0.7134020328521729,,
78,157,,0.7666666507720947,,0.7641305327415466,,
78,157,,,,,0.341085284948349,1.9272319078445435
78,157,0.7209302186965942,,0.72602778673172,,,
79,158,,0.73828125,,0.7083141803741455,,
79,159,,0.8222222328186035,,0.6048579812049866,,
79,159,,,,,0.3255814015865326,1.9266672134399414
79,159,0.7524917125701904,,0.7212312817573547,,,
80,160,,0.74609375,,0.6950704455375671,,
80,161,,0.7111111283302307,,0.7200482487678528,,
80,161,,,,,0.3333333432674408,1.9218014478683472
80,161,0.7641196250915527,,0.6740720272064209,,,
81,162,,0.765625,,0.6680787801742554,,
81,163,,0.7888888716697693,,0.695304811000824,,
81,163,,,,,0.341085284948349,1.9247105121612549
81,163,0.7740863561630249,,0.6581693291664124,,,
82,164,,0.7890625,,0.6747898459434509,,
82,165,,0.7777777910232544,,0.5849708318710327,,
82,165,,,,,0.3333333432674408,1.9318811893463135
82,165,0.7707641124725342,,0.6793420314788818,,,
83,166,,0.734375,,0.7061181664466858,,
83,167,,0.7777777910232544,,0.6853331327438354,,
83,167,,,,,0.3333333432674408,1.9393577575683594
83,167,0.7657807469367981,,0.6666138172149658,,,
84,168,,0.77734375,,0.6357148289680481,,
84,169,,0.6777777671813965,,0.7455261945724487,,
84,169,,,,,0.3255814015865326,1.9402292966842651
84,169,0.7574750781059265,,0.6636776924133301,,,
85,170,,0.7734375,,0.6204259991645813,,
85,171,,0.800000011920929,,0.6568736433982849,,
85,171,,,,,0.3333333432674408,1.9386627674102783
85,171,0.7790697813034058,,0.6359319090843201,,,
86,172,,0.75390625,,0.6419176459312439,,
86,173,,0.7888888716697693,,0.6902940273284912,,
86,173,,,,,0.3488371968269348,1.9385013580322266
86,173,0.7691029906272888,,0.656908392906189,,,
87,174,,0.7421875,,0.623540461063385,,
87,175,,0.8444444537162781,,0.6275182366371155,,
87,175,,,,,0.3643410801887512,1.9355906248092651
87,175,0.7591361999511719,,0.6513450145721436,,,
88,176,,0.7890625,,0.5929785966873169,,
88,177,,0.8222222328186035,,0.6073856353759766,,
88,177,,,,,0.3720930218696594,1.9357163906097412
88,177,0.7823920249938965,,0.6238136887550354,,,
89,178,,0.81640625,,0.5655504465103149,,
89,179,,0.8111110925674438,,0.5772363543510437,,
89,179,,,,,0.3643410801887512,1.9417812824249268
89,179,0.7990033030509949,,0.6039302945137024,,,
90,180,,0.80859375,,0.6097584962844849,,
90,181,,0.800000011920929,,0.5768669247627258,,
90,181,,,,,0.3488371968269348,1.9456621408462524
90,181,0.7873753905296326,,0.6177151203155518,,,
91,182,,0.8046875,,0.5529088973999023,,
91,183,,0.7555555701255798,,0.6362441182136536,,
91,183,,,,,0.3488371968269348,1.9442509412765503
91,183,0.7740863561630249,,0.6022862792015076,,,
92,184,,0.796875,,0.6522703766822815,,
92,185,,0.7222222089767456,,0.693484365940094,,
92,185,,,,,0.3488371968269348,1.9436811208724976
92,185,0.7857142686843872,,0.6298002004623413,,,
93,186,,0.8125,,0.5354341268539429,,
93,187,,0.8333333134651184,,0.6038283705711365,,
93,187,,,,,0.356589138507843,1.9467979669570923
93,187,0.7873753905296326,,0.5976423025131226,,,
94,188,,0.765625,,0.5910559892654419,,
94,189,,0.7222222089767456,,0.5677173733711243,,
94,189,,,,,0.3643410801887512,1.9420099258422852
94,189,0.7624584436416626,,0.5989069938659668,,,
95,190,,0.74609375,,0.655811607837677,,
95,191,,0.8222222328186035,,0.4490529000759125,,
95,191,,,,,0.3643410801887512,1.930564284324646
95,191,0.7691029906272888,,0.5969784259796143,,,
96,192,,0.78125,,0.5879021286964417,,
96,193,,0.7333333492279053,,0.6808465719223022,,
96,193,,,,,0.3798449635505676,1.924224615097046
96,193,0.7840531468391418,,0.5808379054069519,,,
97,194,,0.77734375,,0.5802249908447266,,
97,195,,0.7555555701255798,,0.6430100202560425,,
97,195,,,,,0.3798449635505676,1.9098390340805054
97,195,0.7990033030509949,,0.5600733160972595,,,
98,196,,0.82421875,,0.5601722002029419,,
98,197,,0.7666666507720947,,0.592254102230072,,
98,197,,,,,0.38759690523147583,1.8938953876495361
98,197,0.7990033030509949,,0.563646674156189,,,
99,198,,0.83203125,,0.5627630352973938,,
99,199,,0.7666666507720947,,0.6258890628814697,,
99,199,,,,,0.3798449635505676,1.8918721675872803
99,199,0.8189368844032288,,0.5690445303916931,,,
100,200,,0.80078125,,0.5486149787902832,,
100,201,,0.855555534362793,,0.4978775680065155,,
100,201,,,,,0.39534884691238403,1.8966431617736816
100,201,0.7956810593605042,,0.5533710718154907,,,
101,202,,0.7890625,,0.6051333546638489,,
101,203,,0.7777777910232544,,0.5050750970840454,,
101,203,,,,,0.39534884691238403,1.9091037511825562
101,203,0.7873753905296326,,0.5835639238357544,,,
102,204,,0.76953125,,0.6255942583084106,,
102,205,,0.8111110925674438,,0.5562995076179504,,
102,205,,,,,0.39534884691238403,1.9192819595336914
102,205,0.7890365719795227,,0.5818220376968384,,,
103,206,,0.7734375,,0.5788688659667969,,
103,207,,0.8222222328186035,,0.6121678948402405,,
103,207,,,,,0.39534884691238403,1.9291216135025024
103,207,0.7724252343177795,,0.5815838575363159,,,
104,208,,0.84765625,,0.529401957988739,,
104,209,,0.7444444298744202,,0.6376374363899231,,
104,209,,,,,0.39534884691238403,1.9339983463287354
104,209,0.8089700937271118,,0.5561333298683167,,,
105,210,,0.79296875,,0.5551062226295471,,
105,211,,0.7777777910232544,,0.5448567271232605,,
105,211,,,,,0.38759690523147583,1.9339563846588135
105,211,0.7990033030509949,,0.5447094440460205,,,
106,212,,0.828125,,0.4938666820526123,,
106,213,,0.8111110925674438,,0.5063851475715637,,
106,213,,,,,0.38759690523147583,1.9383175373077393
106,213,0.8205980062484741,,0.5067240595817566,,,
107,214,,0.7890625,,0.5268939733505249,,
107,215,,0.7666666507720947,,0.530411422252655,,
107,215,,,,,0.3798449635505676,1.9424906969070435
107,215,0.8073089718818665,,0.5214775204658508,,,
108,216,,0.76953125,,0.557601273059845,,
108,217,,0.7777777910232544,,0.5950093269348145,,
108,217,,,,,0.38759690523147583,1.943893551826477
108,217,0.7857142686843872,,0.5394354462623596,,,
109,218,,0.78515625,,0.5647361874580383,,
109,219,,0.8222222328186035,,0.5057706832885742,,
109,219,,,,,0.40310078859329224,1.946572184562683
109,219,0.8106312155723572,,0.5193831324577332,,,
110,220,,0.79296875,,0.5195386409759521,,
110,221,,0.8444444537162781,,0.4698652923107147,,
110,221,,,,,0.41085270047187805,1.9473943710327148
110,221,0.7973421812057495,,0.5113664865493774,,,
111,222,,0.8046875,,0.5121288895606995,,
111,223,,0.800000011920929,,0.5212419033050537,,
111,223,,,,,0.41085270047187805,1.9447144269943237
111,223,0.8039867281913757,,0.5196646451950073,,,
112,224,,0.81640625,,0.4775128960609436,,
112,225,,0.7888888716697693,,0.5613888502120972,,
112,225,,,,,0.40310078859329224,1.9376622438430786
112,225,0.8255813717842102,,0.49240291118621826,,,
113,226,,0.8203125,,0.4811252951622009,,
113,227,,0.855555534362793,,0.4300377070903778,,
113,227,,,,,0.40310078859329224,1.9257900714874268
113,227,0.8272425532341003,,0.4835893511772156,,,
114,228,,0.8203125,,0.48517125844955444,,
114,229,,0.8444444537162781,,0.43744826316833496,,
114,229,,,,,0.40310078859329224,1.928464651107788
114,229,0.8122923374176025,,0.4930826425552368,,,
115,230,,0.83203125,,0.4912590980529785,,
115,231,,0.8333333134651184,,0.40791767835617065,,
115,231,,,,,0.40310078859329224,1.942644715309143
115,231,0.8222591280937195,,0.4805024564266205,,,
116,232,,0.84765625,,0.4782060980796814,,
116,233,,0.8111110925674438,,0.48676711320877075,,
116,233,,,,,0.40310078859329224,1.9585306644439697
116,233,0.8471760749816895,,0.4597896933555603,,,
117,234,,0.82421875,,0.517602801322937,,
117,235,,0.8999999761581421,,0.38053736090660095,,
117,235,,,,,0.40310078859329224,1.9672185182571411
117,235,0.8322259187698364,,0.48130616545677185,,,
118,236,,0.7890625,,0.4939742088317871,,
118,237,,0.7555555701255798,,0.5437420606613159,,
118,237,,,,,0.40310078859329224,1.9748773574829102
118,237,0.8106312155723572,,0.4956192970275879,,,
119,238,,0.82421875,,0.5008181929588318,,
119,239,,0.7888888716697693,,0.5016570091247559,,
119,239,,,,,0.41085270047187805,1.9836829900741577
119,239,0.8289036750793457,,0.4922930896282196,,,
